,Bitcoin,SnP 500
2020-07-06,9375.474609375,3179.719970703125
2020-07-07,9252.27734375,3145.320068359375
2020-07-08,9428.3330078125,3169.93994140625
2020-07-09,9277.9677734375,3152.050048828125
2020-07-10,9278.8076171875,3185.0400390625
2020-07-11,9240.3466796875,
2020-07-12,9276.5,
2020-07-13,9243.6142578125,3155.219970703125
2020-07-14,9243.2138671875,3197.52001953125
2020-07-15,9192.8369140625,3226.56005859375
2020-07-16,9132.2275390625,3215.570068359375
2020-07-17,9151.392578125,3224.72998046875
2020-07-18,9159.0400390625,
2020-07-19,9185.8173828125,
2020-07-20,9164.2314453125,3251.840087890625
2020-07-21,9374.8876953125,3257.300048828125
2020-07-22,9525.36328125,3276.02001953125
2020-07-23,9581.072265625,3235.659912109375
2020-07-24,9536.892578125,3215.6298828125
2020-07-25,9677.11328125,
2020-07-26,9905.1669921875,
2020-07-27,10990.873046875,3239.409912109375
2020-07-28,10912.8232421875,3218.43994140625
2020-07-29,11100.4677734375,3258.43994140625
2020-07-30,11111.2138671875,3246.219970703125
2020-07-31,11323.466796875,3271.1201171875
2020-08-01,11759.5927734375,
2020-08-02,11053.6142578125,
2020-08-03,11246.3486328125,3294.610107421875
2020-08-04,11205.892578125,3306.510009765625
2020-08-05,11747.0224609375,3327.77001953125
2020-08-06,11779.7734375,3349.159912109375
2020-08-07,11601.47265625,3351.280029296875
2020-08-08,11754.0458984375,
2020-08-09,11675.7392578125,
2020-08-10,11878.111328125,3360.469970703125
2020-08-11,11410.525390625,3333.68994140625
2020-08-12,11584.9345703125,3380.35009765625
2020-08-13,11784.1376953125,3373.429931640625
2020-08-14,11768.87109375,3372.85009765625
2020-08-15,11865.6982421875,
2020-08-16,11892.8037109375,
2020-08-17,12254.40234375,3381.989990234375
2020-08-18,11991.2333984375,3389.780029296875
2020-08-19,11758.283203125,3374.85009765625
2020-08-20,11878.3720703125,3385.510009765625
2020-08-21,11592.4892578125,3397.159912109375
2020-08-22,11681.8251953125,
2020-08-23,11664.84765625,
2020-08-24,11774.595703125,3431.280029296875
2020-08-25,11366.134765625,3443.6201171875
2020-08-26,11488.36328125,3478.72998046875
2020-08-27,11323.3974609375,3484.550048828125
2020-08-28,11542.5,3508.010009765625
2020-08-29,11506.865234375,
2020-08-30,11711.505859375,
2020-08-31,11680.8203125,3500.31005859375
2020-09-01,11970.478515625,3526.64990234375
2020-09-02,11414.0341796875,3580.840087890625
2020-09-03,10245.296875,3455.06005859375
2020-09-04,10511.8134765625,3426.9599609375
2020-09-05,10169.5673828125,
2020-09-06,10280.3515625,
2020-09-07,10369.5634765625,
2020-09-08,10131.5166015625,3331.840087890625
2020-09-09,10242.34765625,3398.9599609375
2020-09-10,10363.138671875,3339.18994140625
2020-09-11,10400.9150390625,3340.969970703125
2020-09-12,10442.1708984375,
2020-09-13,10323.755859375,
2020-09-14,10680.837890625,3383.5400390625
2020-09-15,10796.951171875,3401.199951171875
2020-09-16,10974.9052734375,3385.489990234375
2020-09-17,10948.990234375,3357.010009765625
2020-09-18,10944.5859375,3319.469970703125
2020-09-19,11094.3466796875,
2020-09-20,10938.271484375,
2020-09-21,10462.259765625,3281.06005859375
2020-09-22,10538.4599609375,3315.570068359375
2020-09-23,10246.1865234375,3236.919921875
2020-09-24,10760.06640625,3246.590087890625
2020-09-25,10692.716796875,3298.4599609375
2020-09-26,10750.7236328125,
2020-09-27,10775.26953125,
2020-09-28,10709.65234375,3351.60009765625
2020-09-29,10844.640625,3335.469970703125
2020-09-30,10784.4912109375,3363.0
2020-10-01,10619.4521484375,3380.800048828125
2020-10-02,10575.974609375,3348.419921875
2020-10-03,10549.3291015625,
2020-10-04,10669.5830078125,
2020-10-05,10793.33984375,3408.60009765625
2020-10-06,10604.40625,3360.969970703125
2020-10-07,10668.96875,3419.43994140625
2020-10-08,10915.685546875,3446.830078125
2020-10-09,11064.4580078125,3477.139892578125
2020-10-10,11296.361328125,
2020-10-11,11384.181640625,
2020-10-12,11555.36328125,3534.219970703125
2020-10-13,11425.8994140625,3511.929931640625
2020-10-14,11429.5068359375,3488.669921875
2020-10-15,11495.349609375,3483.340087890625
2020-10-16,11322.123046875,3483.81005859375
2020-10-17,11358.1015625,
2020-10-18,11483.359375,
2020-10-19,11742.037109375,3426.919921875
2020-10-20,11916.3349609375,3443.1201171875
2020-10-21,12823.689453125,3435.56005859375
2020-10-22,12965.8916015625,3453.489990234375
2020-10-23,12931.5390625,3465.389892578125
2020-10-24,13108.0625,
